State,Education Budget,Unemployment Rate,Population Estimate
Alabama,2775338135.0,3.2,4903185
Alaska,400523164.6,5.6,731545
Arizona,5143402498.0,4.8,7278717
Arkansas,1350409184.0,3.5,3017804
California,17212221075.0,4.1,39512223
Colorado,2788049026.0,2.7,5758736
Connecticut,1828889175.0,3.6,3565287
Delaware,473804823.1,3.6,973764
District of Columbia,1838047295.0,5.5,705749
Florida,8753066640.0,3.2,21477737
Georgia,5062246917.0,3.6,10617423
Hawaii,449100414.2,2.5,1415872
Idaho,688908434.0,2.9,1787065
Illinois,6657828557.0,4.0,12671821
Indiana,3385141198.0,3.3,6732219
Iowa,1666660077.0,2.7,3155070
Kansas,1439276872.0,3.3,2913314
Kentucky,2208575378.0,4.1,4467673
Louisiana,2513977136.0,4.6,4648794
Maine,672684725.3,2.9,1344212
Maryland,2480450206.0,3.4,6045680
Massachusetts,4052189459.0,3.0,6892503
Michigan,4696645199.0,4.1,9986857
Minnesota,3770573766.0,3.3,5639632
Mississippi,1601803745.0,5.5,2976149
Missouri,3148464544.0,3.2,6137428
Montana,484861276.7,3.5,1068778
Nebraska,1028414429.0,3.1,1934408
Nevada,853245313.1,4.1,3080156
New Hampshire,1338124989.0,2.6,1359711
New Jersey,3447693060.0,3.5,8882190
New Mexico,851116686.1,5.0,2096829
New York,11323969827.0,3.9,19453561
North Carolina,4320490529.0,3.9,10488084
North Dakota,409069795.8,2.2,762062
Ohio,5377536434.0,4.2,11689100
Oklahoma,1852146940.0,3.1,3956971
Oregon,1864317520.0,3.7,4217737
Pennsylvania,7301398795.0,4.3,12801989
Rhode Island,742469353.0,3.5,1059361
South Carolina,2264532149.0,2.8,5148714
South Dakota,546790777.2,2.8,884659
Tennessee,3009125001.0,3.3,6829174
Texas,11585891325.0,3.5,28995881
Utah,1910906004.0,2.5,3205958
Vermont,439616180.0,2.1,623989
Virginia,4493669761.0,2.8,8535519
Washington,2471252194.0,4.2,7614893
West Virginia,1147837812.0,5.0,1792147
Wisconsin,2371695509.0,3.2,5822434
Wyoming,231368787.8,3.7,578759
