State or Other Area,2018 Actual
Alabama,2908765139
Alaska,404828433.7
Arizona,5080637675
Arkansas,1401643324
California,17516670303
Colorado,2863430831
Connecticut,1854947718
Delaware,476592589.9
District of Columbia,1853775976
Florida,8940269535
Georgia,5220842709
Hawaii,457308984.2
Idaho,700226624.7
Illinois,7196027858
Indiana,3141193144
Iowa,2197721443
Kansas,1497102093
Kentucky,2270204083
Louisiana,2489362542
Maine,700237650.3
Maryland,2625009128
Massachusetts,4227505004
Michigan,4934435871
Minnesota,3912815287
Mississippi,1646055353
Missouri,3305034872
Montana,494879413.4
Nebraska,1045790369
Nevada,849872620.4
New Hampshire,1227902365
New Jersey,3503643365
New Mexico,861734830.3
New York,11583626064
North Carolina,4473198043
North Dakota,413089615.2
Ohio,5535034392
Oklahoma,1902550377
Oregon,1953628193
Pennsylvania,7689615661
Rhode Island,777178357.8
South Carolina,2329416175
South Dakota,575016768.3
Tennessee,3117050293
Texas,11724170200
Utah,1823315647
Vermont,458488633.2
Virginia,4526294721
Washington,2501109120
West Virginia,1161520349
Wisconsin,2461654557
Wyoming,235790083.1
American Samoa,39690053
Guam,71234576.91
Northern Mariana Islands,27550787
Puerto Rico,2227900952
Virgin Islands,37789062.14
Freely Associated States,25109815
Indian set-aside,299737384
Other,1738349123
     Total,167516000000
