State,2007 Rate,Rank ,Labor Force
Hawaii,2.6,1,649000
Idaho,2.7,2,754000
Utah,2.7,2,1362000
Missouri,3,4,983000
South Dakota,3,4,443000
Virginia,3,4,4054000
Wyoming,3,4,288000
Montana,3.1,8,501000
North Dakota,3.2,9,366000
Delaware,3.4,10,443000
Alabama,3.5,11,2183000
New Mexico,3.5,11,943000
New Hampshire,3.6,13,738000
Maryland,3.6,13,2980000
Iowa,3.8,15,1661000
Louisiana,3.8,15,1998000
Arizona,3.8,15,3029000
Colorado,3.8,15,2706000
Vermont,3.9,19,354000
Florida,4,20,9148000
Kansas,4.1,21,1479000
New Jersey,4.2,22,4466000
Oklahoma,4.3,23,1733000
Texas,4.3,23,11492000
Pennsylvania,4.4,25,6287000
Georgia,4.4,25,4815000
Massachusetts,4.5,27,3408000
New York,4.5,27,9519000
Indiana,4.5,27,3211000
Washington,4.5,27,3408000
Connecticut,4.6,31,1865000
Minnesota,4.6,31,2931000
West Virginia,4.6,31,809000
Maine,4.7,34,705000
North Carolina,4.7,34,4519000
Tennessee,4.7,34,3037000
Nevada,4.8,37,1336000
Wisconsin,4.9,38,3089000
Rhode Island,5,39,577000
Illinois,5,39,6697000
Nebraska,5,39,3031000
Oregon,5.2,42,1928000
Arkansas,5.4,43,1368000
California,5.4,43,18188000
Kentucky,5.5,45,2044000
Ohio,5.6,46,5977000
"Washington, D.C.",5.7,47,326000
South Carolina,5.9,48,2137000
Alaska,6.2,49,352000
Mississippi,6.3,50,1315000
Michigan,7.2,51,5020000
