DATE,Median Income
1984-01-01,52672
1985-01-01,51061
1986-01-01,49574
1987-01-01,49626
1988-01-01,52259
1989-01-01,50070
1990-01-01,49162
1991-01-01,49534
1992-01-01,47994
1993-01-01,48621
1994-01-01,48952
1995-01-01,46596
1996-01-01,47330
1997-01-01,52937
1998-01-01,56188
1999-01-01,53314
2000-01-01,51168
2001-01-01,54625
2002-01-01,55060
2003-01-01,53016
2004-01-01,56959
2005-01-01,52354
2006-01-01,52317
2007-01-01,56609
2008-01-01,58167
2009-01-01,58075
2010-01-01,53677
2011-01-01,58498
2012-01-01,57228
2013-01-01,53777
2014-01-01,54069
2015-01-01,53837
2016-01-01,57516
2017-01-01,57343
2018-01-01,58732
2019-01-01,62946
2020-01-01,54921
2021-01-01,60096
